1751313415,1.93,50.59
1751313416,1.93,50.61
1751313417,1.93,50.73
1751313418,1.93,50.73
1751313419,1.93,50.68
1751313420,1.93,50.47
1751313421,1.93,50.29
1751313422,1.93,50.22
1751313423,1.93,50.09
1751313424,1.93,50.20
1751313425,1.93,50.25
1751313426,1.93,50.06
1751313427,1.93,50.68
1751313428,1.93,50.24
1751313429,1.93,50.38
1751313430,1.93,51.00
1751313500,1.93,50.31
1751313501,1.93,50.40
1751313502,1.93,50.25
1751313503,1.93,50.14
1751313504,1.93,50.30
1751313505,1.93,50.40
1751313506,1.93,50.58
1751313507,1.93,50.54
1751313508,1.93,50.91
1751313509,1.93,51.00
1751313510,1.93,51.00
1751313511,1.93,51.01
1751313512,1.93,50.99
1751313513,1.93,51.07
1751313514,1.93,50.82
1751313515,1.93,50.80
1751313516,1.93,50.78
1751313517,1.93,50.90
1751313518,1.94,50.80
1751313519,1.94,50.73
1751313520,1.94,50.70
1751313521,1.94,50.85
1751313522,1.94,50.67
1751313523,1.94,50.78
1751313524,1.94,50.73
1751313525,1.94,50.73
1751313526,1.94,50.83
1751313527,1.94,50.75
1751313528,1.94,50.78
1751313529,1.94,50.77
1751313530,1.94,50.84
1751313531,1.94,50.95
1751313532,1.94,51.07
1751313533,1.94,51.03
1751313534,1.94,50.98
1751313535,1.94,51.06
1751313536,1.94,51.05
1751313537,1.94,51.00
1751313538,1.94,51.10
1751313539,1.94,50.89
1751313540,1.94,50.85
1751313541,1.94,50.84
1751313542,1.94,50.68
1751313543,1.94,50.61
1751313544,1.94,50.52
1751313545,1.94,50.60
1751313546,1.94,50.53
1751313547,1.94,50.48
1751313548,1.94,50.46
1751313549,1.94,50.80
1751313550,1.94,50.84
1751313551,1.94,50.72
1751313552,1.94,50.68
1751313553,1.94,50.84
1751313554,1.94,50.88
1751313555,1.94,50.84
1751313556,1.94,50.75
1751313557,1.94,50.83
1751313558,1.94,50.58
1751313559,1.94,50.59
1751313560,1.94,50.98
1751313561,1.94,50.94
1751313562,1.94,51.07
1751313563,1.94,50.97
1751313564,1.94,51.09
1751313565,1.94,51.00
1751313566,1.94,50.94
1751313567,1.94,50.88
1751313568,1.94,50.87
1751313569,1.94,51.32
1751313570,1.94,51.32
1751313571,1.94,51.23
1751313572,1.94,51.17
1751313573,1.94,51.07
1751313574,1.94,51.16
1751313575,1.94,51.20
1751313576,1.94,51.07
1751313577,1.94,51.06
1751313578,1.94,51.10
1751313579,1.94,51.16
1751313580,1.94,51.17
1751313581,1.94,51.45
1751313582,1.94,51.35
1751313583,1.94,51.41
1751313584,1.94,52.12
1751313585,1.94,51.45
1751313586,1.94,51.28
1751313587,1.94,51.34
1751313588,1.94,51.32
1751313589,1.94,51.37
1751313590,1.94,51.38
1751313591,1.94,51.30
1751313592,1.94,51.29
1751313593,1.94,51.10
1751313594,1.94,51.17
1751313595,1.94,51.74
1751313596,1.94,51.18
1751313597,1.94,51.27
1751315348,2.01,50.07
1751315349,2.01,50.11
1751315350,2.01,49.97
1751315351,2.01,49.95
1751315352,2.01,49.99
1751315353,2.01,49.91
1751315354,2.01,50.05
1751315355,2.01,50.05
1751315356,2.01,49.89
1751315357,2.01,50.55
1751315358,2.01,50.17
1751315359,2.01,50.62
1751315360,2.01,51.04
1751315402,2.01,49.73
1751315403,2.01,50.15
1751315404,2.01,50.08
1751315405,2.01,50.08
1751315406,2.01,50.15
1751315407,2.01,50.20
1751315409,2.01,50.23
